epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,399.189,0.33209,0.25553,0.95029,0.99819,1,0.995,0.97878,0.2339,0.18368,0.7879,0.0012806,0.0012806,0.0012806
111,403.61,0.3221,0.26367,0.94296,0.99819,1,0.995,0.9787,0.21741,0.18787,0.77903,0.001274,0.001274,0.001274
112,407.787,0.30309,0.25877,0.94402,0.99819,1,0.995,0.98518,0.22219,0.19459,0.79468,0.0012674,0.0012674,0.0012674
113,411.919,0.30908,0.24041,0.93371,0.99814,1,0.995,0.99194,0.21209,0.19566,0.77875,0.0012608,0.0012608,0.0012608
114,416.465,0.31494,0.26435,0.94244,0.99803,1,0.995,0.96988,0.24372,0.19573,0.79487,0.0012542,0.0012542,0.0012542
115,420.819,0.30173,0.24556,0.92977,0.99813,1,0.995,0.97246,0.24062,0.2028,0.79311,0.0012476,0.0012476,0.0012476
116,425.435,0.32037,0.25334,0.93174,0.99799,1,0.995,0.97691,0.23724,0.19535,0.78851,0.001241,0.001241,0.001241
117,429.876,0.30844,0.25062,0.94339,0.99809,1,0.995,0.98889,0.21079,0.17928,0.76901,0.0012344,0.0012344,0.0012344
118,433.332,0.30423,0.23644,0.92952,0.99822,1,0.995,0.98345,0.22925,0.20663,0.78337,0.0012278,0.0012278,0.0012278
119,436.314,0.28811,0.2484,0.93277,0.99824,1,0.995,0.97785,0.21851,0.20216,0.78437,0.0012212,0.0012212,0.0012212
120,439.25,0.27097,0.23678,0.91707,0.9982,1,0.995,0.9903,0.20466,0.17527,0.77317,0.0012146,0.0012146,0.0012146
121,442.257,0.27835,0.2332,0.91962,0.99816,1,0.995,0.98966,0.21452,0.17508,0.78293,0.001208,0.001208,0.001208
122,446.276,0.28348,0.23211,0.95103,0.99389,1,0.995,0.995,0.20623,0.1875,0.77034,0.0012014,0.0012014,0.0012014
123,450.381,0.29133,0.23106,0.91541,0.99631,1,0.995,0.995,0.20499,0.18263,0.76568,0.0011948,0.0011948,0.0011948
124,455.426,0.2955,0.24701,0.92604,0.99721,1,0.995,0.995,0.213,0.19058,0.76847,0.0011882,0.0011882,0.0011882
125,460.045,0.30277,0.24327,0.92721,0.99809,1,0.995,0.98543,0.23999,0.18887,0.77645,0.0011816,0.0011816,0.0011816
126,464.958,0.30957,0.25342,0.92625,0.99821,1,0.995,0.98672,0.23708,0.18212,0.77726,0.001175,0.001175,0.001175
127,468.509,0.32522,0.24874,0.94832,0.99816,1,0.995,0.97975,0.24301,0.18038,0.79218,0.0011684,0.0011684,0.0011684
128,472.002,0.26975,0.23189,0.91045,0.99817,1,0.995,0.98867,0.19747,0.17514,0.76206,0.0011618,0.0011618,0.0011618
129,475.8,0.29713,0.25673,0.93498,0.99802,1,0.995,0.99216,0.21014,0.19063,0.77024,0.0011552,0.0011552,0.0011552
130,479.313,0.30354,0.22931,0.93763,0.99821,1,0.995,0.995,0.20112,0.18262,0.77146,0.0011486,0.0011486,0.0011486
131,482.873,0.26704,0.24213,0.91131,0.99825,1,0.995,0.995,0.18971,0.17619,0.76486,0.001142,0.001142,0.001142
132,486.7,0.30046,0.24153,0.94247,0.99823,1,0.995,0.995,0.19453,0.17614,0.76281,0.0011354,0.0011354,0.0011354
133,491.207,0.28674,0.23597,0.90349,0.99819,1,0.995,0.995,0.18779,0.16564,0.7645,0.0011288,0.0011288,0.0011288
134,496.145,0.27003,0.22148,0.92499,0.99819,1,0.995,0.98836,0.19488,0.17812,0.77649,0.0011222,0.0011222,0.0011222
135,500.567,0.26406,0.218,0.92791,0.99795,1,0.995,0.98809,0.21046,0.18888,0.78886,0.0011156,0.0011156,0.0011156
136,504.45,0.2773,0.22716,0.91362,0.99714,1,0.995,0.9917,0.20531,0.20076,0.78228,0.001109,0.001109,0.001109
137,508.165,0.30022,0.2454,0.91585,0.99821,1,0.995,0.995,0.19636,0.19733,0.76979,0.0011024,0.0011024,0.0011024
138,511.664,0.27976,0.23595,0.91507,0.99823,1,0.995,0.995,0.22533,0.19157,0.77479,0.0010958,0.0010958,0.0010958
139,515.464,0.26582,0.22445,0.91757,0.99819,1,0.995,0.995,0.21215,0.1782,0.77088,0.0010892,0.0010892,0.0010892
140,519.755,0.27765,0.23016,0.93365,0.99821,1,0.995,0.99099,0.21723,0.17117,0.77604,0.0010826,0.0010826,0.0010826
141,523.404,0.27088,0.23146,0.93024,0.9982,1,0.995,0.98912,0.22987,0.16767,0.78678,0.001076,0.001076,0.001076
142,527.811,0.29467,0.25482,0.92912,0.99822,1,0.995,0.97754,0.23474,0.17296,0.79176,0.0010694,0.0010694,0.0010694
143,532.391,0.28955,0.24845,0.93374,0.99824,1,0.995,0.98251,0.22884,0.17655,0.78564,0.0010628,0.0010628,0.0010628
144,535.624,0.2987,0.24681,0.9184,0.99824,1,0.995,0.98539,0.21068,0.16965,0.77529,0.0010562,0.0010562,0.0010562
145,539.433,0.27919,0.22355,0.92496,0.99824,1,0.995,0.98823,0.2002,0.16033,0.76676,0.0010496,0.0010496,0.0010496
146,543.034,0.30841,0.25233,0.93975,0.99823,1,0.995,0.99205,0.22225,0.18978,0.76985,0.001043,0.001043,0.001043
147,546.131,0.27924,0.24863,0.92974,0.99819,1,0.995,0.98753,0.22404,0.16752,0.77492,0.0010364,0.0010364,0.0010364
148,549.297,0.2785,0.22841,0.93189,0.99819,1,0.995,0.9801,0.20942,0.16752,0.76951,0.0010298,0.0010298,0.0010298
149,552.423,0.29458,0.23853,0.93927,0.9982,1,0.995,0.98608,0.19846,0.16134,0.77166,0.0010232,0.0010232,0.0010232
150,555.522,0.27262,0.21593,0.91838,0.99824,1,0.995,0.98429,0.23046,0.18099,0.7879,0.0010166,0.0010166,0.0010166
151,558.782,0.27957,0.22691,0.90681,0.99821,1,0.995,0.98603,0.22224,0.17445,0.77843,0.00101,0.00101,0.00101
152,561.795,0.2719,0.22201,0.91555,0.99819,1,0.995,0.98722,0.19685,0.15103,0.76503,0.0010034,0.0010034,0.0010034
153,564.924,0.27487,0.23244,0.92666,0.99821,1,0.995,0.98763,0.20402,0.17333,0.77306,0.0009968,0.0009968,0.0009968
154,567.979,0.25662,0.20536,0.89648,0.99818,1,0.995,0.97906,0.24549,0.18512,0.78397,0.0009902,0.0009902,0.0009902
155,571.017,0.28325,0.23024,0.919,0.99821,1,0.995,0.97711,0.23048,0.16753,0.78213,0.0009836,0.0009836,0.0009836
156,574.141,0.28194,0.22403,0.92648,0.99819,1,0.995,0.98653,0.20561,0.17692,0.76756,0.000977,0.000977,0.000977
157,577.239,0.27866,0.22506,0.91209,0.99814,1,0.995,0.98214,0.22265,0.18506,0.77371,0.0009704,0.0009704,0.0009704
158,580.391,0.2938,0.23727,0.93108,0.9982,1,0.995,0.99102,0.201,0.17214,0.77117,0.0009638,0.0009638,0.0009638
159,583.453,0.29134,0.234,0.91681,0.99818,1,0.995,0.98513,0.19415,0.16298,0.76787,0.0009572,0.0009572,0.0009572
160,586.828,0.2699,0.21892,0.91386,0.99816,1,0.995,0.98815,0.21408,0.15473,0.77614,0.0009506,0.0009506,0.0009506
161,590.291,0.28293,0.23192,0.91889,0.99819,1,0.995,0.99173,0.19304,0.16305,0.75757,0.000944,0.000944,0.000944
162,594.199,0.28934,0.22532,0.93245,0.99822,1,0.995,0.99198,0.1932,0.17377,0.76649,0.0009374,0.0009374,0.0009374
163,597.753,0.24333,0.20935,0.89594,0.99823,1,0.995,0.9879,0.1996,0.16749,0.76928,0.0009308,0.0009308,0.0009308
164,600.984,0.23854,0.20017,0.89631,0.99822,1,0.995,0.98877,0.22973,0.16366,0.78969,0.0009242,0.0009242,0.0009242
165,604.149,0.24848,0.20266,0.9029,0.99822,1,0.995,0.98495,0.22465,0.1753,0.79321,0.0009176,0.0009176,0.0009176
166,607.419,0.26142,0.21094,0.90514,0.99817,1,0.995,0.98903,0.18537,0.16507,0.7694,0.000911,0.000911,0.000911
167,610.992,0.28186,0.23848,0.92978,0.99801,1,0.995,0.9916,0.18763,0.16474,0.76879,0.0009044,0.0009044,0.0009044
168,614.588,0.27041,0.23067,0.91479,0.99026,1,0.995,0.98493,0.20672,0.20463,0.78701,0.0008978,0.0008978,0.0008978
169,617.716,0.2494,0.20808,0.91071,0.99689,1,0.995,0.99005,0.22442,0.25706,0.78708,0.0008912,0.0008912,0.0008912
170,620.947,0.262,0.22962,0.91899,0.99347,1,0.995,0.99103,0.20806,0.22994,0.77684,0.0008846,0.0008846,0.0008846
171,623.954,0.26474,0.21404,0.90715,0.99264,1,0.995,0.995,0.19158,0.21961,0.76859,0.000878,0.000878,0.000878
172,627.021,0.26587,0.22764,0.92508,0.99045,1,0.995,0.99243,0.22332,0.20605,0.77669,0.0008714,0.0008714,0.0008714
173,629.965,0.28393,0.23107,0.93571,0.99799,1,0.995,0.99228,0.20421,0.18845,0.77055,0.0008648,0.0008648,0.0008648
174,633.083,0.26802,0.22215,0.92879,0.998,1,0.995,0.995,0.18677,0.19458,0.76389,0.0008582,0.0008582,0.0008582
175,636.117,0.25459,0.21577,0.91581,0.99822,1,0.995,0.99121,0.19213,0.17937,0.7625,0.0008516,0.0008516,0.0008516
176,639.596,0.26298,0.22574,0.91754,0.9982,1,0.995,0.99151,0.17068,0.14933,0.75031,0.000845,0.000845,0.000845
177,642.96,0.26327,0.20938,0.92089,0.99821,1,0.995,0.995,0.18234,0.14517,0.75558,0.0008384,0.0008384,0.0008384
178,646.217,0.26937,0.21983,0.91597,0.99819,1,0.995,0.995,0.18282,0.16695,0.75012,0.0008318,0.0008318,0.0008318
179,650.027,0.25659,0.21748,0.91683,0.99819,1,0.995,0.995,0.19005,0.16026,0.75546,0.0008252,0.0008252,0.0008252
180,653.86,0.24629,0.20141,0.89676,0.99823,1,0.995,0.995,0.18978,0.16465,0.75509,0.0008186,0.0008186,0.0008186
181,658.345,0.2306,0.20185,0.91431,0.99823,1,0.995,0.995,0.18587,0.16942,0.75381,0.000812,0.000812,0.000812
182,663.149,0.26286,0.21359,0.91636,0.99777,1,0.995,0.995,0.18533,0.15863,0.75718,0.0008054,0.0008054,0.0008054
183,667.774,0.23071,0.19061,0.89627,0.99722,1,0.995,0.995,0.17561,0.15075,0.74916,0.0007988,0.0007988,0.0007988
184,673.251,0.22891,0.18897,0.90454,0.99818,1,0.995,0.99202,0.17686,0.15619,0.74922,0.0007922,0.0007922,0.0007922
185,677.348,0.2457,0.20598,0.90658,0.9982,1,0.995,0.99104,0.18053,0.15987,0.75104,0.0007856,0.0007856,0.0007856
186,680.894,0.25468,0.20284,0.92196,0.99819,1,0.995,0.99005,0.17008,0.14874,0.74666,0.000779,0.000779,0.000779
187,684.299,0.2524,0.20083,0.90674,0.9982,1,0.995,0.99007,0.16897,0.16503,0.74225,0.0007724,0.0007724,0.0007724
188,687.793,0.24963,0.20002,0.90012,0.99804,1,0.995,0.99146,0.16982,0.14395,0.74058,0.0007658,0.0007658,0.0007658
189,691.665,0.2666,0.20848,0.92861,0.998,1,0.995,0.995,0.18685,0.15323,0.74472,0.0007592,0.0007592,0.0007592
190,695.543,0.24511,0.20293,0.8901,0.99808,1,0.995,0.995,0.19736,0.16658,0.75581,0.0007526,0.0007526,0.0007526
191,699.731,0.23115,0.1956,0.90103,0.99809,1,0.995,0.995,0.18392,0.15649,0.75129,0.000746,0.000746,0.000746
192,703.768,0.24744,0.20714,0.90621,0.99817,1,0.995,0.995,0.18526,0.15322,0.75667,0.0007394,0.0007394,0.0007394
193,707.985,0.26777,0.23081,0.90846,0.99821,1,0.995,0.995,0.17352,0.14453,0.74857,0.0007328,0.0007328,0.0007328
194,712.002,0.23371,0.19192,0.91049,0.99822,1,0.995,0.99211,0.17932,0.15346,0.7533,0.0007262,0.0007262,0.0007262
195,716.53,0.23399,0.20695,0.91208,0.99823,1,0.995,0.995,0.17143,0.15159,0.74799,0.0007196,0.0007196,0.0007196
196,721.25,0.21968,0.19597,0.90735,0.99826,1,0.995,0.995,0.1659,0.13994,0.74358,0.000713,0.000713,0.000713
197,725.251,0.21875,0.18565,0.89922,0.99826,1,0.995,0.995,0.18072,0.14251,0.7549,0.0007064,0.0007064,0.0007064
198,729.293,0.23617,0.19076,0.90458,0.99825,1,0.995,0.99275,0.19422,0.14852,0.76754,0.0006998,0.0006998,0.0006998
199,733.565,0.2403,0.20271,0.89464,0.99824,1,0.995,0.995,0.20094,0.16134,0.76587,0.0006932,0.0006932,0.0006932
200,737.586,0.23061,0.18465,0.89437,0.99822,1,0.995,0.995,0.18061,0.15706,0.76228,0.0006866,0.0006866,0.0006866
201,741.466,0.24572,0.19828,0.9028,0.99821,1,0.995,0.99054,0.18113,0.15532,0.75882,0.00068,0.00068,0.00068
202,746.215,0.24748,0.19707,0.90902,0.9982,1,0.995,0.995,0.18609,0.15825,0.75475,0.0006734,0.0006734,0.0006734
203,750.067,0.22769,0.19968,0.90507,0.99822,1,0.995,0.995,0.17634,0.15513,0.75305,0.0006668,0.0006668,0.0006668
204,753.723,0.24988,0.19962,0.90436,0.99821,1,0.995,0.995,0.17933,0.14446,0.75901,0.0006602,0.0006602,0.0006602
205,757.252,0.24192,0.19758,0.9273,0.99823,1,0.995,0.99196,0.18472,0.15309,0.76359,0.0006536,0.0006536,0.0006536
206,761.077,0.23063,0.1899,0.92545,0.99816,1,0.995,0.995,0.18973,0.17417,0.76986,0.000647,0.000647,0.000647
207,765.028,0.22749,0.19826,0.90661,0.99819,1,0.995,0.9921,0.18148,0.1615,0.76056,0.0006404,0.0006404,0.0006404
208,768.826,0.21987,0.18294,0.88614,0.9982,1,0.995,0.99232,0.18649,0.16808,0.7579,0.0006338,0.0006338,0.0006338
209,771.915,0.22336,0.19716,0.89728,0.99819,1,0.995,0.995,0.18007,0.16093,0.75393,0.0006272,0.0006272,0.0006272
210,775.093,0.23604,0.20192,0.89519,0.99819,1,0.995,0.99249,0.18294,0.14898,0.76004,0.0006206,0.0006206,0.0006206
211,778.285,0.22243,0.2006,0.89955,0.9982,1,0.995,0.995,0.17353,0.14424,0.75343,0.000614,0.000614,0.000614
212,781.605,0.22824,0.1842,0.8967,0.99822,1,0.995,0.995,0.17226,0.13827,0.74728,0.0006074,0.0006074,0.0006074
213,784.958,0.25288,0.20779,0.91396,0.99823,1,0.995,0.995,0.16257,0.14156,0.73849,0.0006008,0.0006008,0.0006008
214,788.092,0.23847,0.21313,0.90877,0.99819,1,0.995,0.995,0.15813,0.12523,0.73523,0.0005942,0.0005942,0.0005942
215,791.247,0.22153,0.18359,0.8999,0.99821,1,0.995,0.995,0.1693,0.13476,0.73636,0.0005876,0.0005876,0.0005876
216,794.317,0.23858,0.19321,0.89458,0.99823,1,0.995,0.995,0.1555,0.1339,0.73325,0.000581,0.000581,0.000581
217,797.506,0.24448,0.20458,0.91465,0.9982,1,0.995,0.995,0.15425,0.13716,0.72933,0.0005744,0.0005744,0.0005744
218,800.704,0.22807,0.18382,0.90717,0.99816,1,0.995,0.995,0.1752,0.14324,0.73507,0.0005678,0.0005678,0.0005678
219,803.849,0.22256,0.17847,0.90204,0.99815,1,0.995,0.995,0.16766,0.13084,0.733,0.0005612,0.0005612,0.0005612
220,806.971,0.23546,0.18665,0.89803,0.99823,1,0.995,0.995,0.15751,0.12851,0.73402,0.0005546,0.0005546,0.0005546
221,810.161,0.22678,0.19148,0.89478,0.9982,1,0.995,0.995,0.157,0.12259,0.73464,0.000548,0.000548,0.000548
222,813.348,0.22562,0.18808,0.89654,0.99824,1,0.995,0.995,0.15576,0.12486,0.73502,0.0005414,0.0005414,0.0005414
